uri,track_name,artist,plays,actual_completion_rate,bayesian_completion_rate,artist_completion_prior,predicted_completion_rate,score,reason
spotify:track:6cmYMueidIP3Q2vLDrJWrv,Broken Hearted (feat. Julia Church),SLANDER,99,0.757576,0.720522,0.26198,0.68286,0.655854,Favorite artist boost + strong model score
spotify:track:3K6GWH8THuhsiqo2yUoVlT,Potions - Tisoki Remix,SLANDER,43,0.627907,0.570507,0.26198,0.622472,0.562968,Favorite artist boost + strong model score
spotify:track:3oNaNQlmABqzAMQTmyAjaP,First Time (feat. iann dior) - Sam Feldt Remix,ILLENIUM,30,1.0,0.858343,0.327129,0.967407,0.802145,Favorite artist boost + strong model score
spotify:track:2wm6DCnWcWwfsIl0LvWYZ8,God Damnit (with Call Me Karizma),ILLENIUM,22,0.863636,0.720568,0.327129,0.782313,0.667163,Favorite artist boost + strong model score
spotify:track:7nEE5RihPZU6L5LZqDeEZD,Gold (Stupid Love),Excision,71,0.577465,0.548155,0.288033,0.62178,0.570503,Favorite artist boost + strong model score
spotify:track:0IMWZ7rMu864N1ouQsBpkQ,A.F.B.1.,Excision,17,0.823529,0.65217,0.288033,0.600293,0.553726,Favorite artist boost + strong model score
spotify:track:1oYuQU9DXJ8ucOdmfBzzMF,Heavy Bass Design Vol. 3 - Sample Pack Demo,Virtual Riot,75,0.773333,0.729034,0.313731,0.590235,0.623829,Favorite artist boost + strong model score
spotify:track:4rrX5jIHnAf0oMpM6dbkCu,Cry Some More VIP,Virtual Riot,44,0.795455,0.721343,0.313731,0.569907,0.600892,Favorite artist boost + strong model score
spotify:track:2bQhVQbV7VBzSOPo8mbkUR,Beach House,The Chainsmokers,203,0.916256,0.897408,0.419146,0.889479,0.847595,Favorite artist boost + strong model score
spotify:track:3CgTgHLI8qHAqLoZkz1BdQ,You Owe Me,The Chainsmokers,147,0.931973,0.905504,0.419146,0.890375,0.846947,Favorite artist boost + strong model score
spotify:track:4SHKs8ugjoATC3MgVym7Gs,Vetement Socks,NAV,93,0.978495,0.971996,0.896448,0.965904,0.927694,High confidence from repeated positive listening history
spotify:track:1EBFDh7NkQqI80564tQaUq,"Main Sharabi (From ""Cocktail"")",Imran Aziz,74,0.959459,0.959459,0.959459,0.945258,0.920525,High confidence from repeated positive listening history
spotify:track:0rL450mFk9mVgcShDhGW2t,Cruel Intentions,Delacey,94,1.0,0.987752,0.843844,0.959077,0.920096,High confidence from repeated positive listening history
spotify:track:5doYtCoJ8KpfkFczP3F2ad,Dooriyan,Mohit Chauhan,135,0.97037,0.960711,0.7977,0.970937,0.914448,High confidence from repeated positive listening history
spotify:track:6SGG5AxHShqSYiV9fCWpZz,Stay Next To Me (with Chelsea Cutler),Quinn XCII,118,1.0,0.985731,0.775256,0.966336,0.914132,High confidence from repeated positive listening history
spotify:track:4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,30,1.0,1.0,1.0,0.96207,0.910505,High confidence from repeated positive listening history
spotify:track:2fQrGHiQOvpL9UgPvtYy6G,Bank Account,21 Savage,136,1.0,0.985577,0.740387,0.959221,0.906699,High confidence from repeated positive listening history
spotify:track:0C9g70hdhr7W3HCs3ITUYz,No Scrubs,Unlike Pluto feat. Joanna Jones,23,1.0,1.0,1.0,0.966614,0.896011,High confidence from repeated positive listening history
spotify:track:62vpWI1CHwFy7tMIcSStl8,No Role Modelz,J. Cole,135,1.0,0.981794,0.674569,0.962752,0.893927,High confidence from repeated positive listening history
spotify:track:4hqOmrCCJKyiuwDexd8c2t,Price On My Head (feat. The Weeknd),NAV,225,0.911111,0.910608,0.896448,0.899919,0.892115,High confidence from repeated positive listening history
spotify:track:4v2sn6bAwasHE6SPY0zil2,My Wife & 2 Dogs,Quinn XCII,65,1.0,0.975371,0.775256,0.956082,0.891125,High confidence from repeated positive listening history
