session_id,rows,dominant_country,dominant_platform,start_hour,completion_rate,artist_affinity_ratio,country_match,platform_match,hour_match,artist_affinity_match,driving_hint,attribution_score,keep_as_primary_user
6050,262,US,ios,23,0.030534,0.362595,1,1,1,1,0,4.2,1
6028,253,US,ios,23,0.047431,0.450593,1,1,1,1,0,4.2,1
6078,247,US,ios,23,0.060729,0.404858,1,1,1,1,0,4.2,1
7098,239,US,ios,19,0.251046,0.426778,1,1,1,1,0,4.2,1
6250,226,US,ios,22,0.079646,0.424779,1,1,1,1,0,4.2,1
7150,226,US,ios,21,0.088496,0.429204,1,1,1,1,0,4.2,1
6372,218,US,ios,23,0.059633,0.284404,1,1,1,1,0,4.2,1
6562,217,US,ios,23,0.069124,0.396313,1,1,1,1,0,4.2,1
5997,202,US,ios,0,0.034653,0.331683,1,1,1,1,0,4.2,1
5839,197,US,ios,1,0.06599,0.375635,1,1,1,1,0,4.2,1
6208,197,US,ios,22,0.060914,0.472081,1,1,1,1,0,4.2,1
6054,187,US,ios,23,0.085561,0.486631,1,1,1,1,0,4.2,1
7122,186,US,ios,22,0.053763,0.489247,1,1,1,1,0,4.2,1
7918,184,US,ios,22,0.217391,0.423913,1,1,1,1,0,4.2,1
5959,183,US,ios,0,0.032787,0.420765,1,1,1,1,0,4.2,1
5869,181,US,ios,23,0.110497,0.40884,1,1,1,1,0,4.2,1
6093,181,US,ios,0,0.033149,0.298343,1,1,1,1,0,4.2,1
7148,181,US,ios,21,0.171271,0.303867,1,1,1,1,0,4.2,1
7630,179,US,ios,22,0.083799,0.335196,1,1,1,1,0,4.2,1
6960,178,US,ios,0,0.095506,0.320225,1,1,1,1,0,4.2,1
7216,178,US,ios,22,0.202247,0.533708,1,1,1,1,0,4.2,1
6797,177,US,ios,22,0.062147,0.39548,1,1,1,1,0,4.2,1
6989,176,US,ios,1,0.051136,0.471591,1,1,1,1,0,4.2,1
6098,175,US,ios,0,0.034286,0.382857,1,1,1,1,0,4.2,1
6043,173,US,ios,23,0.017341,0.404624,1,1,1,1,0,4.2,1
5916,172,US,ios,23,0.063953,0.284884,1,1,1,1,0,4.2,1
6775,172,US,ios,22,0.069767,0.395349,1,1,1,1,0,4.2,1
7896,169,US,ios,21,0.39645,0.502959,1,1,1,1,0,4.2,1
9340,169,US,ios,20,0.213018,0.491124,1,1,1,1,0,4.2,1
6632,168,US,ios,21,0.202381,0.482143,1,1,1,1,0,4.2,1
5944,167,US,ios,0,0.05988,0.431138,1,1,1,1,0,4.2,1
7555,167,US,ios,22,0.101796,0.407186,1,1,1,1,0,4.2,1
7720,167,US,ios,21,0.077844,0.407186,1,1,1,1,0,4.2,1
6496,166,US,ios,23,0.096386,0.415663,1,1,1,1,0,4.2,1
7138,165,US,ios,23,0.084848,0.442424,1,1,1,1,0,4.2,1
5902,162,US,ios,21,0.098765,0.358025,1,1,1,1,0,4.2,1
6254,162,US,ios,23,0.055556,0.530864,1,1,1,1,0,4.2,1
6256,162,US,ios,23,0.055556,0.438272,1,1,1,1,0,4.2,1
7176,162,US,ios,22,0.061728,0.617284,1,1,1,1,0,4.2,1
6977,161,US,ios,23,0.068323,0.453416,1,1,1,1,0,4.2,1
7659,161,US,ios,22,0.124224,0.298137,1,1,1,1,0,4.2,1
7040,160,US,ios,23,0.06875,0.41875,1,1,1,1,0,4.2,1
6312,159,US,ios,23,0.044025,0.522013,1,1,1,1,0,4.2,1
6833,158,US,ios,23,0.056962,0.506329,1,1,1,1,0,4.2,1
6507,157,US,ios,23,0.095541,0.503185,1,1,1,1,0,4.2,1
6301,156,US,ios,23,0.051282,0.397436,1,1,1,1,0,4.2,1
7160,156,US,ios,22,0.128205,0.442308,1,1,1,1,0,4.2,1
6397,155,US,ios,23,0.051613,0.606452,1,1,1,1,0,4.2,1
6868,155,US,ios,23,0.096774,0.387097,1,1,1,1,0,4.2,1
5925,153,US,ios,0,0.078431,0.54902,1,1,1,1,0,4.2,1
6472,152,US,ios,22,0.118421,0.447368,1,1,1,1,0,4.2,1
7117,152,US,ios,21,0.098684,0.473684,1,1,1,1,0,4.2,1
8565,152,US,ios,23,0.125,0.585526,1,1,1,1,0,4.2,1
7187,151,US,ios,23,0.05298,0.463576,1,1,1,1,0,4.2,1
6514,150,US,ios,23,0.12,0.353333,1,1,1,1,0,4.2,1
7118,150,US,ios,22,0.073333,0.56,1,1,1,1,0,4.2,1
7613,150,US,ios,22,0.12,0.46,1,1,1,1,0,4.2,1
10230,150,US,ios,20,0.253333,0.413333,1,1,1,1,0,4.2,1
5939,149,US,ios,0,0.067114,0.328859,1,1,1,1,0,4.2,1
6695,149,US,ios,22,0.120805,0.422819,1,1,1,1,0,4.2,1
6852,149,US,ios,23,0.073826,0.362416,1,1,1,1,0,4.2,1
6861,149,US,ios,23,0.053691,0.322148,1,1,1,1,0,4.2,1
7252,149,US,ios,23,0.114094,0.557047,1,1,1,1,0,4.2,1
7411,149,US,ios,23,0.080537,0.691275,1,1,1,1,0,4.2,1
8379,149,US,ios,20,0.14094,0.657718,1,1,1,1,0,4.2,1
10256,148,US,ios,20,0.135135,0.47973,1,1,1,1,0,4.2,1
5877,147,US,ios,1,0.095238,0.469388,1,1,1,1,0,4.2,1
5955,147,US,ios,0,0.047619,0.401361,1,1,1,1,0,4.2,1
8039,147,US,ios,21,0.081633,0.333333,1,1,1,1,0,4.2,1
8095,147,US,ios,20,0.129252,0.278912,1,1,1,1,0,4.2,1
8145,147,US,ios,22,0.231293,0.496599,1,1,1,1,0,4.2,1
7382,146,US,ios,21,0.130137,0.513699,1,1,1,1,0,4.2,1
5418,145,US,ios,0,0.055172,0.344828,1,1,1,1,0,4.2,1
6411,145,US,ios,22,0.131034,0.393103,1,1,1,1,0,4.2,1
7375,145,US,ios,22,0.041379,0.303448,1,1,1,1,0,4.2,1
7090,144,US,ios,1,0.076389,0.375,1,1,1,1,0,4.2,1
7112,144,US,ios,22,0.090278,0.486111,1,1,1,1,0,4.2,1
7239,144,US,ios,20,0.076389,0.444444,1,1,1,1,0,4.2,1
7771,144,US,ios,22,0.090278,0.298611,1,1,1,1,0,4.2,1
6039,143,US,ios,23,0.048951,0.433566,1,1,1,1,0,4.2,1
8284,143,US,ios,23,0.111888,0.41958,1,1,1,1,0,4.2,1
5411,141,US,ios,1,0.113475,0.333333,1,1,1,1,0,4.2,1
6529,141,US,ios,23,0.06383,0.453901,1,1,1,1,0,4.2,1
7185,140,US,ios,23,0.092857,0.5,1,1,1,1,0,4.2,1
6119,139,US,ios,0,0.043165,0.460432,1,1,1,1,0,4.2,1
6325,139,US,ios,22,0.086331,0.57554,1,1,1,1,0,4.2,1
7940,139,US,ios,22,0.115108,0.482014,1,1,1,1,0,4.2,1
6983,138,US,ios,23,0.094203,0.434783,1,1,1,1,0,4.2,1
7709,137,US,ios,21,0.080292,0.510949,1,1,1,1,0,4.2,1
8335,137,US,ios,23,0.182482,0.372263,1,1,1,1,0,4.2,1
7170,136,US,ios,22,0.198529,0.441176,1,1,1,1,0,4.2,1
7183,136,US,ios,0,0.051471,0.316176,1,1,1,1,0,4.2,1
7792,136,US,ios,21,0.080882,0.558824,1,1,1,1,0,4.2,1
7864,136,US,ios,21,0.139706,0.419118,1,1,1,1,0,4.2,1
7872,136,US,ios,22,0.088235,0.352941,1,1,1,1,0,4.2,1
6104,135,US,ios,0,0.096296,0.451852,1,1,1,1,0,4.2,1
6305,135,US,ios,22,0.103704,0.481481,1,1,1,1,0,4.2,1
6589,135,US,ios,22,0.162963,0.555556,1,1,1,1,0,4.2,1
6653,135,US,ios,22,0.037037,0.377778,1,1,1,1,0,4.2,1
6487,134,US,ios,22,0.104478,0.522388,1,1,1,1,0,4.2,1
7114,134,US,ios,22,0.097015,0.41791,1,1,1,1,0,4.2,1
7627,134,US,ios,22,0.067164,0.5,1,1,1,1,0,4.2,1
7647,134,US,ios,22,0.059701,0.485075,1,1,1,1,0,4.2,1
8206,134,US,ios,20,0.179104,0.358209,1,1,1,1,0,4.2,1
8329,134,US,ios,23,0.179104,0.462687,1,1,1,1,0,4.2,1
6009,133,US,ios,0,0.090226,0.473684,1,1,1,1,0,4.2,1
7715,133,US,ios,21,0.165414,0.443609,1,1,1,1,0,4.2,1
8034,133,US,ios,22,0.120301,0.338346,1,1,1,1,0,4.2,1
6365,132,US,ios,20,0.075758,0.280303,1,1,1,1,0,4.2,1
6501,132,US,ios,22,0.181818,0.598485,1,1,1,1,0,4.2,1
6846,132,US,ios,20,0.121212,0.431818,1,1,1,1,0,4.2,1
6875,132,US,ios,19,0.022727,0.363636,1,1,1,1,0,4.2,1
7059,132,US,ios,23,0.128788,0.325758,1,1,1,1,0,4.2,1
7291,132,US,ios,0,0.098485,0.530303,1,1,1,1,0,4.2,1
7800,132,US,ios,22,0.113636,0.583333,1,1,1,1,0,4.2,1
6464,131,US,ios,21,0.137405,0.519084,1,1,1,1,0,4.2,1
7621,131,US,ios,22,0.068702,0.442748,1,1,1,1,0,4.2,1
7806,131,US,ios,22,0.068702,0.480916,1,1,1,1,0,4.2,1
9249,131,US,ios,20,0.312977,0.671756,1,1,1,1,0,4.2,1
5850,130,US,ios,1,0.084615,0.276923,1,1,1,1,0,4.2,1
5930,130,US,ios,22,0.038462,0.330769,1,1,1,1,0,4.2,1
6379,130,US,ios,23,0.076923,0.4,1,1,1,1,0,4.2,1
7087,130,US,ios,1,0.069231,0.469231,1,1,1,1,0,4.2,1
7200,130,US,ios,23,0.153846,0.407692,1,1,1,1,0,4.2,1
7206,130,US,ios,22,0.107692,0.5,1,1,1,1,0,4.2,1
7567,130,US,ios,0,0.138462,0.423077,1,1,1,1,0,4.2,1
7609,130,US,ios,21,0.046154,0.4,1,1,1,1,0,4.2,1
8116,130,US,ios,21,0.346154,0.615385,1,1,1,1,0,4.2,1
6636,129,US,ios,22,0.054264,0.465116,1,1,1,1,0,4.2,1
6787,129,US,ios,22,0.100775,0.403101,1,1,1,1,0,4.2,1
7242,129,US,ios,23,0.139535,0.449612,1,1,1,1,0,4.2,1
6569,128,US,ios,23,0.132812,0.460938,1,1,1,1,0,4.2,1
7722,128,US,ios,20,0.125,0.257812,1,1,1,1,0,4.2,1
7859,128,US,ios,22,0.109375,0.390625,1,1,1,1,0,4.2,1
8236,128,US,ios,21,0.09375,0.546875,1,1,1,1,0,4.2,1
6211,127,US,ios,23,0.015748,0.543307,1,1,1,1,0,4.2,1
7194,127,US,ios,23,0.062992,0.456693,1,1,1,1,0,4.2,1
7273,127,US,ios,23,0.102362,0.433071,1,1,1,1,0,4.2,1
5693,126,US,ios,0,0.079365,0.420635,1,1,1,1,0,4.2,1
5994,126,US,ios,1,0.039683,0.380952,1,1,1,1,0,4.2,1
6459,126,US,ios,22,0.126984,0.444444,1,1,1,1,0,4.2,1
8226,126,US,ios,23,0.103175,0.357143,1,1,1,1,0,4.2,1
5732,125,US,ios,0,0.224,0.6,1,1,1,1,0,4.2,1
5787,125,US,ios,0,0.048,0.48,1,1,1,1,0,4.2,1
6385,125,US,ios,22,0.104,0.408,1,1,1,1,0,4.2,1
6455,125,US,ios,23,0.184,0.52,1,1,1,1,0,4.2,1
8014,125,US,ios,22,0.104,0.344,1,1,1,1,0,4.2,1
5211,124,US,ios,23,0.491935,0.524194,1,1,1,1,0,4.2,1
5824,124,US,ios,1,0.120968,0.298387,1,1,1,1,0,4.2,1
6032,124,US,ios,23,0.016129,0.467742,1,1,1,1,0,4.2,1
7378,124,US,ios,21,0.072581,0.322581,1,1,1,1,0,4.2,1
7705,124,US,ios,22,0.056452,0.435484,1,1,1,1,0,4.2,1
7979,123,US,ios,22,0.138211,0.495935,1,1,1,1,0,4.2,1
8311,123,US,ios,20,0.121951,0.422764,1,1,1,1,0,4.2,1
10736,123,US,ios,21,0.203252,0.552846,1,1,1,1,0,4.2,1
5343,122,US,ios,0,0.098361,0.680328,1,1,1,1,0,4.2,1
5920,122,US,ios,0,0.090164,0.540984,1,1,1,1,0,4.2,1
5949,122,US,ios,0,0.07377,0.54918,1,1,1,1,0,4.2,1
6317,122,US,ios,23,0.098361,0.491803,1,1,1,1,0,4.2,1
6914,122,US,ios,23,0.07377,0.47541,1,1,1,1,0,4.2,1
7174,122,US,ios,23,0.106557,0.418033,1,1,1,1,0,4.2,1
7602,122,US,ios,22,0.106557,0.385246,1,1,1,1,0,4.2,1
7433,121,US,ios,22,0.107438,0.404959,1,1,1,1,0,4.2,1
6247,120,US,ios,23,0.1,0.458333,1,1,1,1,0,4.2,1
6957,120,US,ios,23,0.125,0.6,1,1,1,1,0,4.2,1
7212,120,US,ios,23,0.083333,0.491667,1,1,1,1,0,4.2,1
7225,120,US,ios,23,0.066667,0.483333,1,1,1,1,0,4.2,1
7469,120,US,ios,21,0.075,0.291667,1,1,1,1,0,4.2,1
7778,120,US,ios,22,0.083333,0.383333,1,1,1,1,0,4.2,1
8062,120,US,ios,22,0.141667,0.35,1,1,1,1,0,4.2,1
5707,119,US,ios,23,0.02521,0.344538,1,1,1,1,0,4.2,1
6946,119,US,ios,23,0.168067,0.638655,1,1,1,1,0,4.2,1
8548,119,US,ios,21,0.142857,0.428571,1,1,1,1,0,4.2,1
6276,118,US,ios,22,0.110169,0.389831,1,1,1,1,0,4.2,1
6477,118,US,ios,22,0.177966,0.474576,1,1,1,1,0,4.2,1
7106,118,US,ios,23,0.067797,0.423729,1,1,1,1,0,4.2,1
6064,117,US,ios,23,0.025641,0.401709,1,1,1,1,0,4.2,1
6645,117,US,ios,23,0.162393,0.752137,1,1,1,1,0,4.2,1
6807,117,US,ios,22,0.08547,0.538462,1,1,1,1,0,4.2,1
6884,117,US,ios,23,0.111111,0.555556,1,1,1,1,0,4.2,1
7057,117,US,ios,22,0.102564,0.401709,1,1,1,1,0,4.2,1
7143,117,US,ios,23,0.136752,0.282051,1,1,1,1,0,4.2,1
7232,117,US,ios,21,0.119658,0.401709,1,1,1,1,0,4.2,1
7315,117,US,ios,0,0.068376,0.384615,1,1,1,1,0,4.2,1
7742,117,US,ios,21,0.102564,0.324786,1,1,1,1,0,4.2,1
8228,117,US,ios,20,0.188034,0.615385,1,1,1,1,0,4.2,1
8262,117,US,ios,23,0.128205,0.598291,1,1,1,1,0,4.2,1
8555,117,US,ios,23,0.094017,0.435897,1,1,1,1,0,4.2,1
9652,117,US,ios,20,0.273504,0.555556,1,1,1,1,0,4.2,1
5972,116,US,ios,0,0.077586,0.517241,1,1,1,1,0,4.2,1
6626,116,US,ios,23,0.362069,0.5,1,1,1,1,0,4.2,1
9629,116,US,ios,20,0.293103,0.577586,1,1,1,1,0,4.2,1
5704,115,US,ios,0,0.095652,0.426087,1,1,1,1,0,4.2,1
6859,115,US,ios,23,0.095652,0.417391,1,1,1,1,0,4.2,1
7152,115,US,ios,22,0.13913,0.426087,1,1,1,1,0,4.2,1
7282,115,US,ios,0,0.095652,0.295652,1,1,1,1,0,4.2,1
7529,115,US,ios,22,0.086957,0.373913,1,1,1,1,0,4.2,1
7618,115,US,ios,22,0.095652,0.617391,1,1,1,1,0,4.2,1
8052,115,US,ios,22,0.121739,0.382609,1,1,1,1,0,4.2,1
8558,115,US,ios,23,0.156522,0.6,1,1,1,1,0,4.2,1
9173,115,US,ios,20,0.278261,0.513043,1,1,1,1,0,4.2,1
6419,114,US,ios,23,0.096491,0.5,1,1,1,1,0,4.2,1
7634,114,US,ios,22,0.087719,0.596491,1,1,1,1,0,4.2,1
7683,114,US,ios,21,0.131579,0.447368,1,1,1,1,0,4.2,1
8151,114,US,ios,23,0.22807,0.482456,1,1,1,1,0,4.2,1
8484,114,US,ios,22,0.22807,0.526316,1,1,1,1,0,4.2,1
9517,114,US,ios,21,0.412281,0.526316,1,1,1,1,0,4.2,1
9984,114,US,ios,20,0.236842,0.464912,1,1,1,1,0,4.2,1
5271,113,US,ios,23,0.141593,0.59292,1,1,1,1,0,4.2,1
6894,113,US,ios,22,0.132743,0.539823,1,1,1,1,0,4.2,1
7829,113,US,ios,22,0.115044,0.584071,1,1,1,1,0,4.2,1
6002,112,US,ios,22,0.071429,0.491071,1,1,1,1,0,4.2,1
7444,112,US,ios,22,0.214286,0.526786,1,1,1,1,0,4.2,1
7933,112,US,ios,22,0.098214,0.383929,1,1,1,1,0,4.2,1
7971,112,US,ios,22,0.125,0.4375,1,1,1,1,0,4.2,1
8000,112,US,ios,22,0.107143,0.517857,1,1,1,1,0,4.2,1
6574,111,US,ios,22,0.153153,0.522523,1,1,1,1,0,4.2,1
7578,111,US,ios,21,0.126126,0.54955,1,1,1,1,0,4.2,1
7653,111,US,ios,22,0.108108,0.468468,1,1,1,1,0,4.2,1
7730,111,US,ios,22,0.072072,0.27027,1,1,1,1,0,4.2,1
6084,110,US,ios,0,0.045455,0.372727,1,1,1,1,0,4.2,1
6971,110,US,ios,22,0.1,0.7,1,1,1,1,0,4.2,1
7271,110,US,ios,23,0.145455,0.4,1,1,1,1,0,4.2,1
7276,110,US,ios,23,0.072727,0.390909,1,1,1,1,0,4.2,1
7750,110,US,ios,22,0.109091,0.509091,1,1,1,1,0,4.2,1
7987,110,US,ios,21,0.154545,0.472727,1,1,1,1,0,4.2,1
8197,110,US,ios,23,0.145455,0.3,1,1,1,1,0,4.2,1
9397,110,US,ios,21,0.390909,0.481818,1,1,1,1,0,4.2,1
9817,110,US,ios,21,0.145455,0.527273,1,1,1,1,0,4.2,1
10142,110,US,ios,18,0.390909,0.536364,1,1,1,1,0,4.2,1
5799,109,US,ios,1,0.036697,0.513761,1,1,1,1,0,4.2,1
7515,109,US,ios,21,0.100917,0.302752,1,1,1,1,0,4.2,1
7592,109,US,ios,22,0.110092,0.376147,1,1,1,1,0,4.2,1
7673,109,US,ios,22,0.091743,0.513761,1,1,1,1,0,4.2,1
7789,109,US,ios,21,0.100917,0.495413,1,1,1,1,0,4.2,1
8325,109,US,ios,23,0.330275,0.642202,1,1,1,1,0,4.2,1
10109,109,US,ios,21,0.183486,0.559633,1,1,1,1,0,4.2,1
5447,108,US,ios,1,0.074074,0.462963,1,1,1,1,0,4.2,1
5836,108,US,ios,1,0.064815,0.407407,1,1,1,1,0,4.2,1
6308,108,US,ios,22,0.111111,0.648148,1,1,1,1,0,4.2,1
7234,108,US,ios,22,0.083333,0.712963,1,1,1,1,0,4.2,1
7296,108,US,ios,0,0.083333,0.277778,1,1,1,1,0,4.2,1
7531,108,US,ios,22,0.101852,0.277778,1,1,1,1,0,4.2,1
8007,108,US,ios,21,0.092593,0.481481,1,1,1,1,0,4.2,1
8202,108,US,ios,20,0.25,0.416667,1,1,1,1,0,4.2,1
